ABCB1
CCAT1	Long non-coding RNA that promotes tumor formation and is upregulated in colon cancer and other cancer cell types. This transcript may regulate long range chromosomal interactions, including at the Myc oncoprotein locus. Often affected by HPV18 integration
PDL1	immune https://www.cell.com/cell/fulltext/S0092-8674(14)01639-0
PDL2	immune https://www.cell.com/cell/fulltext/S0092-8674(14)01639-0
ALOX12B	immune https://www.cell.com/cell/fulltext/S0092-8674(14)01639-0
ALOX15B	immune https://www.cell.com/cell/fulltext/S0092-8674(14)01639-0
GZMA	immune https://www.cell.com/cell/fulltext/S0092-8674(14)01639-0 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6966682/
PRF1	immune https://www.cell.com/cell/fulltext/S0092-8674(14)01639-0
FASLG	immune https://www.cell.com/cell/fulltext/S0092-8674(17)31136-4
